hard_skill,soft_skill,label,candidate_field
"['business', 'merchandising', 'sales', 'service']",['customer service'],0,retail & consumer products
"['application', 'business', 'business requirements', 'category management', 'entry point', 'marketing strategies', 'remuneration', 'sales', 'service', 'track', 'excel']","['accountability', 'collaboration', 'innovation', 'management', 'negotiation', 'problem solving', 'strategic thinking', 'tenacity']",0,sales
"['application', 'cancer', 'endocrinology', 'hydrotherapy', 'liver transplantation', 'mental health', 'neurology', 'rehabilitation', 'spinal cord injuries', 'working with children']","['research', 'training and development']",0,healthcare & medical
"['access controls', 'data', 'intrusion detection systems', 'mobile', 'operating systems', 'patch management', 'professional services', 'project management', 'security', 'system', 'technical documentation', 'workstations', 'databases']","['information technology', 'infrastructure', 'management', 'patience', 'planning', 'resourcefulness']",1,telecomunication
"['analytics', 'blogs', 'business', 'content creation', 'content management', 'digital', 'digital content', 'digital marketing', 'digital media', 'email marketing', 'facebook insights', 'google analytics', 'graphic design', 'hubspot', 'material', 'moz', 'semrush', 'social media campaigns', 'social media content', 'social media content creation', 'wordpress']","['management', 'microsoft office', 'planning', 'social media']",0,marketing
"['data', 'data analysis', 'heavy industry']",[],0,administration & office support
"['aac', 'blogs', 'business', 'business development', 'cms', 'content management', 'copywriting', 'data', 'data analysis', 'digital', 'digital marketing', 'email marketing', 'google+', 'graphic design', 'newsletters', 'phase', 'photography', 'pinterest', 'remuneration', 'sales']","['collaboration', 'communications', 'management', 'social media', 'writing']",0,marketing
"['business', 'business development', 'c', 'sales', 'stakeholder management']",['management'],1,telecomunication
"['business', 'health promotion', 'knowledge base', 'methadone', 'reconciliation', 'registration', 'service', 'sms', 'system']","['curiosity', 'customer service', 'innovation', 'management', 'resilience']",0,healthcare & medical
"['acting', 'adobe creative suite', 'adobe illustrator', 'blogger', 'brand awareness', 'content design', 'content strategy', 'cosmetics', 'css', 'fashion retail', 'graphic design', 'html', 'landscape', 'media strategy', 'photography', 'rolling', 'skin care', 'social media advertising', 'social media campaigns', 'video editing']","['collaboration', 'editing', 'enthusiasm', 'innovation', 'social media', 'sourcing', 'writing', 'written communication']",0,marketing
"['business', 'fro', 'occupational therapy', 'pain management', 'palliative care', 'patient assessment', 'registration', 'rehabilitation', 'service']",['management'],0,healthcare & medical
"['computers', 'electronics', 'material', 'merchandising', 'sales', 'sampling', 'service']",['customer service'],0,retail & consumer products
"['business', 'business process', 'business process outsourcing', 'change management', 'css', 'javascript', 'net', 'outsourcing', 'read code', 'sql', 'excel']","['information technology', 'management', 'problem solving']",1,telecomunication
"['application', 'business', 'data', 'finance', 'sales', 'excel']",['management'],0,accounting
"['credit control', 'liquidation', 'sales', 'service']","['filing', 'management']",0,accounting
"['eftpos', 'infection', 'infection control', 'medical', 'medicare', 'payment systems']","['management', 'numbers', 'professionalism', 'time management', 'written communication']",0,healthcare & medical
"['boosting', 'entrepreneurship', 'finance', 'gauge', 'investing', 'mobile', 'sales', 'excel']","['management', 'time management']",0,sales
"['application', 'consolidation', 'crm', 'finance', 'service', 'service provider', 'testing']","['integration', 'teaching']",1,telecomunication
"['data', 'installation', 'payment processing', 'phase', 'service', 'vehicle']","['computer literacy', 'coordinating', 'customer service', 'data entry', 'literacy', 'management', 'microsoft office', 'self-motivation', 'verbal communication skills']",0,administration & office support
"['education program', 'transformation']",[],0,sport & recreation
"['auctioneering', 'customer experience', 'finance', 'purchasing', 'sales', 'service', 'stock management', 'vehicle']","['customer service', 'management', 'negotiation', 'relationship management', 'time management']",0,sales
